content.generic_counters.MulticastPacketsSent,@timestamp,content.generic_counters.LastDiscontinuityTime,content.generic_counters.MulticastPacketsReceived,content.generic_counters.ThrottledPacketsReceived,content.generic_counters.CRCErrors,content.generic_counters.PacketsReceived,content.generic_counters.LastDataTime,hostname,content.key.InterfaceName,content.generic_counters.BytesReceived,content.delta.BytesSent,content.generic_counters.BytesSent,content.generic_counters.OutputUnderruns,content.generic_counters.SecondsSinceLastClearCounters,content.generic_counters.OutputQueueDrops,content.generic_counters.SecondsSincePacketReceived,content.generic_counters.InputErrors,content.generic_counters.AvailabilityFlag,content.generic_counters.BroadcastPacketsSent,content.delta.BytesReceived,content.generic_counters.InputDrops,content.generic_counters.OutputDrops,content.generic_counters.OutputBuffersSwappedOut,content.generic_counters.Resets,content.generic_counters.InputAborts,content.generic_counters.GiantPacketsReceived,content.generic_counters.BroadcastPacketsReceived,content.delta.PacketsReceived,content.generic_counters.UnknownProtocolPacketsReceived,content.generic_counters.FramingErrorsReceived,content.generic_counters.OutputBufferFailures,content.generic_counters.CarrierTransitions,content.generic_counters.RuntPacketsReceived,content.delta.PacketsSent,content.generic_counters.InputQueueDrops,content.generic_counters.InputOverruns,content.generic_counters.PacketsSent,content.generic_counters.SecondsSincePacketSent,content.generic_counters.OutputErrors,content.generic_counters.InputIgnoredPackets,content.generic_counters.Applique,content.generic_counters.ParityPacketsReceived
0,2016-03-17T13:04:02.620Z,1458063695,0,0,0,0,1458219839,s0-r1,tunnel-te102,0,0.0,0,0,0,0,4294967295,0,2147476720,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,4294967295,0,0,0,0
103955,2016-03-17T13:04:02.620Z,1458063706,20934,0,0,248319,1458219838,s0-r1,GigabitEthernet0/0/0/0,43877304,19695.0,109667638,0,0,0,0,0,0,2,7010.0,0,0,0,0,0,0,19,15.0,0,0,0,0,0,27.0,0,0,479282,0,0,0,0,0
17145,2016-03-17T13:04:03.688Z,1457449308,8667,0,0,39350,1458219833,s0-r6,GigabitEthernet0/0/0/5,25437550,309.0,41971094,0,0,0,9,0,0,68496,196.0,0,0,0,0,0,0,882,1.0,0,0,0,0,0,2.0,0,0,573382,9,0,0,0,0
17154,2016-03-17T13:04:03.688Z,1457449308,2066,0,0,430065,1458219833,s0-r6,GigabitEthernet0/0/0/1,182864756,120.0,22591662,0,0,0,19,0,0,1,146.0,0,0,0,0,0,0,884,2.0,0,0,0,0,0,2.0,0,0,62982,19,0,0,0,0
152,2016-03-17T13:03:45.830Z,1458194456,422,0,0,1509,1458219824,s0-r5,GigabitEthernet0/0/0/4,158999,133.0,83094,0,0,0,5,0,0,2,318.0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,2.0,0,0,1121,5,0,0,0,0
153,2016-03-17T13:03:45.831Z,1458194456,424,0,0,3066,1458219824,s0-r5,GigabitEthernet0/0/0/2,244820,488.0,170224,0,0,0,10,0,0,2,778.0,0,0,0,0,0,0,0,10.0,0,0,0,0,0,8.0,0,0,2654,10,0,0,0,0
152,2016-03-17T13:03:45.831Z,1458194456,424,0,0,3069,1458219824,s0-r5,GigabitEthernet0/0/0/1,245006,180.0,170154,0,0,0,5,0,0,2,382.0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,3.0,0,0,2653,5,0,0,0,0
103930,2016-03-17T13:03:32.635Z,1458063706,20929,0,0,248304,1458219808,s0-r1,GigabitEthernet0/0/0/0,43870294,14814.0,109647943,0,0,0,5,0,0,2,5213.0,0,0,0,0,0,0,19,12.0,0,0,0,0,0,20.0,0,0,479255,5,0,0,0,0
17154,2016-03-17T13:03:33.655Z,1457449308,14898,0,0,59185,1458219803,s0-r6,GigabitEthernet0/0/0/4,7508804,124.0,7577413,0,0,0,0,0,0,2,276.0,0,0,0,0,0,0,882,3.0,0,0,0,0,0,2.0,0,0,76410,19,0,0,0,0
1285,2016-03-17T13:03:21.657Z,1458162490,0,0,0,123928,1458219799,s0-r4,GigabitEthernet0/0/0/2,38322328,2393527564.0,4512281108267,0,0,0,3,0,0,2,20068.0,0,0,0,0,0,0,0,65.0,0,0,0,0,0,1583056.0,0,0,2984376714,3,0,0,0,0
